,learning_rate,gamma,max_depth,max_delta_step,accuracy
0,0.1,0.0,4.0,0.0,0.7284172661870504
1,0.1,0.0,4.0,2.0,0.7068345323741008
2,0.1,0.0,4.0,4.0,0.7356115107913669
3,0.1,0.0,4.0,6.0,0.7320143884892086
4,0.1,0.0,6.0,0.0,0.7176258992805755
5,0.1,0.0,6.0,2.0,0.7194244604316546
6,0.1,0.0,6.0,4.0,0.7176258992805755
7,0.1,0.0,6.0,6.0,0.7158273381294964
8,0.1,0.0,10.0,0.0,0.7068345323741008
9,0.1,0.0,10.0,2.0,0.7086330935251799
10,0.1,0.0,10.0,4.0,0.7158273381294964
11,0.1,0.0,10.0,6.0,0.7140287769784173
12,0.1,0.0,20.0,0.0,0.7140287769784173
13,0.1,0.0,20.0,2.0,0.7158273381294964
14,0.1,0.0,20.0,4.0,0.7158273381294964
15,0.1,0.0,20.0,6.0,0.7212230215827338
16,0.1,0.5,4.0,0.0,0.7140287769784173
17,0.1,0.5,4.0,2.0,0.7212230215827338
18,0.1,0.5,4.0,4.0,0.7230215827338129
19,0.1,0.5,4.0,6.0,0.7248201438848921
20,0.1,0.5,6.0,0.0,0.710431654676259
21,0.1,0.5,6.0,2.0,0.7140287769784173
22,0.1,0.5,6.0,4.0,0.7014388489208633
23,0.1,0.5,6.0,6.0,0.710431654676259
24,0.1,0.5,10.0,0.0,0.7122302158273381
25,0.1,0.5,10.0,2.0,0.7068345323741008
26,0.1,0.5,10.0,4.0,0.7122302158273381
27,0.1,0.5,10.0,6.0,0.7086330935251799
28,0.1,0.5,20.0,0.0,0.7122302158273381
29,0.1,0.5,20.0,2.0,0.7014388489208633
30,0.1,0.5,20.0,4.0,0.7176258992805755
31,0.1,0.5,20.0,6.0,0.7122302158273381
32,0.1,1.0,4.0,0.0,0.7068345323741008
33,0.1,1.0,4.0,2.0,0.7158273381294964
34,0.1,1.0,4.0,4.0,0.7194244604316546
35,0.1,1.0,4.0,6.0,0.7140287769784173
36,0.1,1.0,6.0,0.0,0.7014388489208633
37,0.1,1.0,6.0,2.0,0.697841726618705
38,0.1,1.0,6.0,4.0,0.7050359712230215
39,0.1,1.0,6.0,6.0,0.7014388489208633
40,0.1,1.0,10.0,0.0,0.7068345323741008
41,0.1,1.0,10.0,2.0,0.7014388489208633
42,0.1,1.0,10.0,4.0,0.7122302158273381
43,0.1,1.0,10.0,6.0,0.7086330935251799
44,0.1,1.0,20.0,0.0,0.7140287769784173
45,0.1,1.0,20.0,2.0,0.7032374100719424
46,0.1,1.0,20.0,4.0,0.7194244604316546
47,0.1,1.0,20.0,6.0,0.710431654676259
48,0.1,5.0,4.0,0.0,0.6744604316546763
49,0.1,5.0,4.0,2.0,0.670863309352518
50,0.1,5.0,4.0,4.0,0.6906474820143885
51,0.1,5.0,4.0,6.0,0.6780575539568345
52,0.1,5.0,6.0,0.0,0.685251798561151
53,0.1,5.0,6.0,2.0,0.6870503597122302
54,0.1,5.0,6.0,4.0,0.6798561151079137
55,0.1,5.0,6.0,6.0,0.6780575539568345
56,0.1,5.0,10.0,0.0,0.685251798561151
57,0.1,5.0,10.0,2.0,0.6834532374100719
58,0.1,5.0,10.0,4.0,0.6996402877697842
59,0.1,5.0,10.0,6.0,0.6744604316546763
60,0.1,5.0,20.0,0.0,0.6834532374100719
61,0.1,5.0,20.0,2.0,0.6834532374100719
62,0.1,5.0,20.0,4.0,0.6942446043165468
63,0.1,5.0,20.0,6.0,0.6744604316546763
64,0.3,0.0,4.0,0.0,0.7212230215827338
65,0.3,0.0,4.0,2.0,0.7302158273381295
66,0.3,0.0,4.0,4.0,0.737410071942446
67,0.3,0.0,4.0,6.0,0.7266187050359713
68,0.3,0.0,6.0,0.0,0.7248201438848921
69,0.3,0.0,6.0,2.0,0.7356115107913669
70,0.3,0.0,6.0,4.0,0.7302158273381295
71,0.3,0.0,6.0,6.0,0.7284172661870504
72,0.3,0.0,10.0,0.0,0.7284172661870504
73,0.3,0.0,10.0,2.0,0.7356115107913669
74,0.3,0.0,10.0,4.0,0.7248201438848921
75,0.3,0.0,10.0,6.0,0.7284172661870504
76,0.3,0.0,20.0,0.0,0.7320143884892086
77,0.3,0.0,20.0,2.0,0.7338129496402878
78,0.3,0.0,20.0,4.0,0.7230215827338129
79,0.3,0.0,20.0,6.0,0.7392086330935251
80,0.3,0.5,4.0,0.0,0.6960431654676259
81,0.3,0.5,4.0,2.0,0.7176258992805755
82,0.3,0.5,4.0,4.0,0.7212230215827338
83,0.3,0.5,4.0,6.0,0.7050359712230215
84,0.3,0.5,6.0,0.0,0.6960431654676259
85,0.3,0.5,6.0,2.0,0.710431654676259
86,0.3,0.5,6.0,4.0,0.6906474820143885
87,0.3,0.5,6.0,6.0,0.7122302158273381
88,0.3,0.5,10.0,0.0,0.6924460431654677
89,0.3,0.5,10.0,2.0,0.7158273381294964
90,0.3,0.5,10.0,4.0,0.7140287769784173
91,0.3,0.5,10.0,6.0,0.7014388489208633
92,0.3,0.5,20.0,0.0,0.685251798561151
93,0.3,0.5,20.0,2.0,0.7068345323741008
94,0.3,0.5,20.0,4.0,0.7050359712230215
95,0.3,0.5,20.0,6.0,0.7050359712230215
96,0.3,1.0,4.0,0.0,0.6870503597122302
97,0.3,1.0,4.0,2.0,0.7086330935251799
98,0.3,1.0,4.0,4.0,0.7122302158273381
99,0.3,1.0,4.0,6.0,0.7032374100719424
100,0.3,1.0,6.0,0.0,0.6906474820143885
101,0.3,1.0,6.0,2.0,0.6996402877697842
102,0.3,1.0,6.0,4.0,0.710431654676259
103,0.3,1.0,6.0,6.0,0.697841726618705
104,0.3,1.0,10.0,0.0,0.6546762589928058
105,0.3,1.0,10.0,2.0,0.7032374100719424
106,0.3,1.0,10.0,4.0,0.7032374100719424
107,0.3,1.0,10.0,6.0,0.7050359712230215
108,0.3,1.0,20.0,0.0,0.6762589928057554
109,0.3,1.0,20.0,2.0,0.7176258992805755
110,0.3,1.0,20.0,4.0,0.7014388489208633
111,0.3,1.0,20.0,6.0,0.7050359712230215
112,0.3,5.0,4.0,0.0,0.6169064748201439
113,0.3,5.0,4.0,2.0,0.685251798561151
114,0.3,5.0,4.0,4.0,0.658273381294964
115,0.3,5.0,4.0,6.0,0.6528776978417267
116,0.3,5.0,6.0,0.0,0.6276978417266187
117,0.3,5.0,6.0,2.0,0.6798561151079137
118,0.3,5.0,6.0,4.0,0.6600719424460432
119,0.3,5.0,6.0,6.0,0.6510791366906474
120,0.3,5.0,10.0,0.0,0.6402877697841727
121,0.3,5.0,10.0,2.0,0.6636690647482014
122,0.3,5.0,10.0,4.0,0.6672661870503597
123,0.3,5.0,10.0,6.0,0.6492805755395683
124,0.3,5.0,20.0,0.0,0.6384892086330936
125,0.3,5.0,20.0,2.0,0.6690647482014388
126,0.3,5.0,20.0,4.0,0.6672661870503597
127,0.3,5.0,20.0,6.0,0.658273381294964
128,0.5,0.0,4.0,0.0,0.697841726618705
129,0.5,0.0,4.0,2.0,0.7410071942446043
130,0.5,0.0,4.0,4.0,0.7230215827338129
131,0.5,0.0,4.0,6.0,0.7302158273381295
132,0.5,0.0,6.0,0.0,0.685251798561151
133,0.5,0.0,6.0,2.0,0.7212230215827338
134,0.5,0.0,6.0,4.0,0.7284172661870504
135,0.5,0.0,6.0,6.0,0.7248201438848921
136,0.5,0.0,10.0,0.0,0.7032374100719424
137,0.5,0.0,10.0,2.0,0.7086330935251799
138,0.5,0.0,10.0,4.0,0.7212230215827338
139,0.5,0.0,10.0,6.0,0.7068345323741008
140,0.5,0.0,20.0,0.0,0.6960431654676259
141,0.5,0.0,20.0,2.0,0.7086330935251799
142,0.5,0.0,20.0,4.0,0.7194244604316546
143,0.5,0.0,20.0,6.0,0.7212230215827338
144,0.5,0.5,4.0,0.0,0.6474820143884892
145,0.5,0.5,4.0,2.0,0.7014388489208633
146,0.5,0.5,4.0,4.0,0.6942446043165468
147,0.5,0.5,4.0,6.0,0.6798561151079137
148,0.5,0.5,6.0,0.0,0.6438848920863309
149,0.5,0.5,6.0,2.0,0.6924460431654677
150,0.5,0.5,6.0,4.0,0.6924460431654677
151,0.5,0.5,6.0,6.0,0.6816546762589928
152,0.5,0.5,10.0,0.0,0.6276978417266187
153,0.5,0.5,10.0,2.0,0.697841726618705
154,0.5,0.5,10.0,4.0,0.6996402877697842
155,0.5,0.5,10.0,6.0,0.6672661870503597
156,0.5,0.5,20.0,0.0,0.6223021582733813
157,0.5,0.5,20.0,2.0,0.6888489208633094
158,0.5,0.5,20.0,4.0,0.697841726618705
159,0.5,0.5,20.0,6.0,0.6762589928057554
160,0.5,1.0,4.0,0.0,0.6420863309352518
161,0.5,1.0,4.0,2.0,0.7050359712230215
162,0.5,1.0,4.0,4.0,0.6942446043165468
163,0.5,1.0,4.0,6.0,0.6906474820143885
164,0.5,1.0,6.0,0.0,0.6312949640287769
165,0.5,1.0,6.0,2.0,0.6798561151079137
166,0.5,1.0,6.0,4.0,0.685251798561151
167,0.5,1.0,6.0,6.0,0.6888489208633094
168,0.5,1.0,10.0,0.0,0.6097122302158273
169,0.5,1.0,10.0,2.0,0.6942446043165468
170,0.5,1.0,10.0,4.0,0.6834532374100719
171,0.5,1.0,10.0,6.0,0.6780575539568345
172,0.5,1.0,20.0,0.0,0.6115107913669064
173,0.5,1.0,20.0,2.0,0.697841726618705
174,0.5,1.0,20.0,4.0,0.6960431654676259
175,0.5,1.0,20.0,6.0,0.6744604316546763
176,0.5,5.0,4.0,0.0,0.5809352517985612
177,0.5,5.0,4.0,2.0,0.6600719424460432
178,0.5,5.0,4.0,4.0,0.6528776978417267
179,0.5,5.0,4.0,6.0,0.6187050359712231
180,0.5,5.0,6.0,0.0,0.5899280575539568
181,0.5,5.0,6.0,2.0,0.6564748201438849
182,0.5,5.0,6.0,4.0,0.6420863309352518
183,0.5,5.0,6.0,6.0,0.6276978417266187
184,0.5,5.0,10.0,0.0,0.5863309352517986
185,0.5,5.0,10.0,2.0,0.6690647482014388
186,0.5,5.0,10.0,4.0,0.6402877697841727
187,0.5,5.0,10.0,6.0,0.6330935251798561
188,0.5,5.0,20.0,0.0,0.5863309352517986
189,0.5,5.0,20.0,2.0,0.6672661870503597
190,0.5,5.0,20.0,4.0,0.6402877697841727
191,0.5,5.0,20.0,6.0,0.6330935251798561
192,0.8,0.0,4.0,0.0,0.6690647482014388
193,0.8,0.0,4.0,2.0,0.7284172661870504
194,0.8,0.0,4.0,4.0,0.710431654676259
195,0.8,0.0,4.0,6.0,0.7032374100719424
196,0.8,0.0,6.0,0.0,0.6618705035971223
197,0.8,0.0,6.0,2.0,0.7266187050359713
198,0.8,0.0,6.0,4.0,0.7320143884892086
199,0.8,0.0,6.0,6.0,0.6996402877697842
200,0.8,0.0,10.0,0.0,0.6474820143884892
201,0.8,0.0,10.0,2.0,0.737410071942446
202,0.8,0.0,10.0,4.0,0.7176258992805755
203,0.8,0.0,10.0,6.0,0.6942446043165468
204,0.8,0.0,20.0,0.0,0.6402877697841727
205,0.8,0.0,20.0,2.0,0.7176258992805755
206,0.8,0.0,20.0,4.0,0.7122302158273381
207,0.8,0.0,20.0,6.0,0.6924460431654677
208,0.8,0.5,4.0,0.0,0.6151079136690647
209,0.8,0.5,4.0,2.0,0.6942446043165468
210,0.8,0.5,4.0,4.0,0.670863309352518
211,0.8,0.5,4.0,6.0,0.658273381294964
212,0.8,0.5,6.0,0.0,0.6007194244604317
213,0.8,0.5,6.0,2.0,0.6780575539568345
214,0.8,0.5,6.0,4.0,0.6798561151079137
215,0.8,0.5,6.0,6.0,0.6474820143884892
216,0.8,0.5,10.0,0.0,0.6115107913669064
217,0.8,0.5,10.0,2.0,0.6726618705035972
218,0.8,0.5,10.0,4.0,0.670863309352518
219,0.8,0.5,10.0,6.0,0.6115107913669064
220,0.8,0.5,20.0,0.0,0.6133093525179856
221,0.8,0.5,20.0,2.0,0.6834532374100719
222,0.8,0.5,20.0,4.0,0.6600719424460432
223,0.8,0.5,20.0,6.0,0.6366906474820144
224,0.8,1.0,4.0,0.0,0.5845323741007195
225,0.8,1.0,4.0,2.0,0.6906474820143885
226,0.8,1.0,4.0,4.0,0.6600719424460432
227,0.8,1.0,4.0,6.0,0.6474820143884892
228,0.8,1.0,6.0,0.0,0.5935251798561151
229,0.8,1.0,6.0,2.0,0.658273381294964
230,0.8,1.0,6.0,4.0,0.6546762589928058
231,0.8,1.0,6.0,6.0,0.6241007194244604
232,0.8,1.0,10.0,0.0,0.5971223021582733
233,0.8,1.0,10.0,2.0,0.6780575539568345
234,0.8,1.0,10.0,4.0,0.6744604316546763
235,0.8,1.0,10.0,6.0,0.6133093525179856
236,0.8,1.0,20.0,0.0,0.5935251798561151
237,0.8,1.0,20.0,2.0,0.6798561151079137
238,0.8,1.0,20.0,4.0,0.6618705035971223
239,0.8,1.0,20.0,6.0,0.6115107913669064
240,0.8,5.0,4.0,0.0,0.5737410071942446
241,0.8,5.0,4.0,2.0,0.6636690647482014
242,0.8,5.0,4.0,4.0,0.6330935251798561
243,0.8,5.0,4.0,6.0,0.579136690647482
244,0.8,5.0,6.0,0.0,0.564748201438849
245,0.8,5.0,6.0,2.0,0.6600719424460432
246,0.8,5.0,6.0,4.0,0.6007194244604317
247,0.8,5.0,6.0,6.0,0.5827338129496403
248,0.8,5.0,10.0,0.0,0.5503597122302158
249,0.8,5.0,10.0,2.0,0.6618705035971223
250,0.8,5.0,10.0,4.0,0.6133093525179856
251,0.8,5.0,10.0,6.0,0.5827338129496403
252,0.8,5.0,20.0,0.0,0.5503597122302158
253,0.8,5.0,20.0,2.0,0.6618705035971223
254,0.8,5.0,20.0,4.0,0.6133093525179856
255,0.8,5.0,20.0,6.0,0.5827338129496403
